Technology,Management_Measure_Category,Project_Phase,Stressor,Receptor,Specific_Receptor,Interaction,Specific_Management_Measures,Implications_of_Measure,Comments_on_Past_Experience,Cost_of_Management_Measure,When_Is_It_Needed,Advantages,Challenges,Project_Documents,Project_Sites
"Wave, Tidal",Design feature,Operation & Maintenance,EMF,Fish,Demersal fish,Impacts of electromagnetic fields from landfall cables on sensitive species.,Install cable protection/armour.,Higher levels of insulation reduces the level of EMF to surrounding water column and therefore any potential effects.,NA,NA,NA,Higher levels of insulation reduces the level of EMF to surrounding water column and therefore any potential effects.,NA,"West Islay Tidal Energy Park: Environmental Statement, EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, Environmental Assessment for Hydropower License: PacWave South Project","West Islay Tidal Project Energy Park, EMEC Fall of Warness Grid-Connected Tidal Test Site, PacWave South Test Site"
"Wave, Tidal",Design feature,Installation,Habitat Loss,Habitat,Intertidal ecology,Loss of intertidal habitat from trenching for cable landfall.,Pre-construction cable route surveys to avoid sensitive habitats.,NA,NA,NA,NA,NA,NA,"Lashy Sound Tidal Array Scoping Report, Environmental Scoping Report: Brims Tidal Array, ScottishPower Renewables Proposed Orcadian Wave Project Preliminary Decommissioning Plan","Brims Tidal Array, Pelamis Wave Power P2 Demonstration at EMEC"
"Wave, Tidal",Design feature,"Installation, Operation & Maintenance, Decommissioning",Displacement,Benthic,NA,Potential displacement of essential activities due to the presence of devices and associated moorings/support structures.,Array/mooring configuration designed to avoid migratory routes or other important sites.,NA,NA,NA,NA,Minimises risk of development creating displacement by avoiding migratory routes or other important sites.,"May be inconsistent with optimal layout of the development for exploitation of the energy source.
Can be a costly measure when scaling up to larger arrays.","Oyster 2 Wave Energy Project Environmental Statement, Strangford Lough Marine Current Turbine: Environmental Statement","Oyster 800 at EMEC, Strangford Lough - MCT (SeaGen)"
"Wave, Tidal",Design feature,Operation & Maintenance,Entanglement,Birds,Diving birds,Potential for marine animals to become entangled in device mooring lines and cables.,Maintain taut mooring lines.,"Would remove/reduce risk of entanglement, however mooring design driven by technical and commercial consideration.

Entanglement records are a useful way to track events.",NA,NA,NA,"Remove/reduce risk of entanglement.
Regular inspections can provide operational insight into condition, and help track effects/interaction with marine animals.","Mooring design driven by technical and commercial consideration.
Regular ROV/dive or drop-down camera inspections required.","Deployment of Wello Oy’s wave energy converter at EMEC’s wave test facility in Orkney: Environmental Statement, Environmental Assessment for Hydropower License: PacWave South Project","Wello Penguin at EMEC, PacWave South Test Site"
Tidal,Monitoring,Operation & Maintenance,Collision risk,Marine Mammals,NA,Potential for collision with turbine blades.,Environmental monitoring to detect collision events.,"Understand avoidance behaviour, nature of interactions and  outcome of collision events, however effective monitoring is expensive and requires a lot of data analysis.",NA,NA,Monitoring of single devices or small arrays to provide data to contribute to the building of consensus around the extent of issue/risk.,"Understand avoidance behavior, nature of interactions, and outcome of collision events.","Can be a high cost associated with this.
Unclear how much monitoring will be required to fully understand this risk.
Technology is not advanced enough yet to do this efficiently. 
Data mortgage (data gathered more quickly than it can be analysed).
Power supply availability - hard-wired vs. battery; power is required for monitoring and power availability can present logistical, financial, and technical challenges.
Interaction between equipment - e.g., multibeam sonar/ ADCP/echosounder; there can be interaction between monitoring equipment which can present challenges in monitoring.
Certain equipment used such as PAM may actually effect behaviour themselves.","AK-1000 Environmental Monitoring Programme, Oyster 2 Wave Energy Project Environmental Statement, GSK Montrose Swan Turbines Environmental Statement Non-Technical Summary, Lashy Sound Tidal Array Scoping Report, Sound of Islay Environmental Statement, Strangford Lough Marine Current Turbine: Environmental Statement, Fairhead Tidal Environmental Impact Assessment Scoping Document, Swansea Bay Environmental Statement: Chapter 23 Mitigation and Monitoring, Orbital O2 Environmental Monitoring Programme","Atlantis Resources Corporation at EMEC, Oyster 800 at EMEC, GSK Montrose Tidal Array, Sound of Islay Demonstration Tidal Array, Strangford Lough - MCT (SeaGen), Fair Head Tidal Array, Swansea Bay Tidal Lagoon (SBTL)"
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Contamination,Reptiles,NA,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Material selection - lubricants, coolants, hydraulic fluids etc., - selected with low ecotoxicity levels and biodegradable.","Reduces/removes risk of contamination from materials which may have escaped structure. Although, use of lower toxicity materials may compromise performance, or impact other technical issues (e.g. fluid changes).",NA,NA,NA,Reduces/removes risk of contamination/pollution from materials which may have escaped structure.,"Use of lower toxicity materials may compromise performance, or impact other technical issues (e.g., fluid changes.)","EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, MeyGen Tidal Energy Project Phase 1: Environmental Statement, HS1000 1 MW Tidal Turbine at EMEC: Supporting Documentation, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Proposed Torr Head Tidal Scheme Environmental Scoping Report","EMEC Fall of Warness Grid-Connected Tidal Test Site, MeyGen Tidal Energy Project - Phase I, HS1000 at EMEC, Galway Bay Test Site, Torr Head Project"
Tidal,Monitoring,Operation & Maintenance,Collision risk,Fish,NA,Potential for collision with turbine blades.,Environmental monitoring to detect collision events.,"Helps to develop an understanding of avoidance behaviour, nature of interactions and  outcome of collision events. However, there are cost implications assocaited with this level of monitoring.",NA,NA,Monitoring of single devices or small arrays to provide data to contribute to the building of consensus around the issue.,"Understand avoidance behaviour, nature of interactions, and outcome of collision events.","Can be a high cost associated with this.
Unclear how much monitoring will be required to fully understand this risk.
Technology is not advanced enough yet to do this efficiently. 
Data mortgage (data gathered more quickly than it can be analysed).
Power supply availability - hard-wired vs. battery; power is required for monitoring and power availability can present logistical, financial and technical challenges.
Interaction between equipment - e.g., multibeam sonar/ ADCP/echosounder; there can be interaction between monitoring equipment which can present challenges in monitoring.
Certain equipment used such as PAM may actually effect behaviour themselves.","AK-1000 Environmental Monitoring Programme, GSK Montrose Swan Turbines Environmental Statement Non-Technical Summary, Lashy Sound Tidal Array Scoping Report","Atlantis Resources Corporation at EMEC, GSK Montrose Tidal Array"
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Barrier to movement,Habitat,NA,"Potential barrier to movement due to the physical presence of devices and associated moorings/support structures, cables and electrical equipment.",Adherence to vessel management plan.,NA,NA,NA,NA,Minimizes the potential interaction between animals and construction or maintenance vessels.,NA,"Environmental Scoping Report: Brims Tidal Array, Draft Phase 1 Project-specific Environmental Monitoring Programme (PEMP): Report to Tocardo Tidal Energy Ltd, Sound of Islay Environmental Statement","Brims Tidal Array, Tocardo InToTidal at EMEC, Sound of Islay Demonstration Tidal Array"
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Airborne noise,Birds,Seabirds,The potential effects from airborne noise from support vessel activity.,Adherence to Scotish Marine Wildlife Watching Code (SMWWC).,NA,Environmental Scoping Report: Brims Tidal Array; Deployment of Wello Oy’s wave energy converter at EMEC’s wave test facility in Orkney: Environmental Statement;,Original management measures tool,NA,NA,NA,"Magallanes ATIR: Project Environmental Monitoring Plan, EMEC Billia Croo Test Site: Environmental Appraisal, Scapa Flow Scale Test Site Gravity Base Anchors: Marine Licence Application - Supporting Document, Draft Phase 1 Project-specific Environmental Monitoring Programme (PEMP): Report to Tocardo Tidal Energy Ltd, Deployment of a Shallow Water Wave Energy Converter at the EMEC Billia Croo Test Site: Environmental Report and Project-specific Environmental Monitoring Plan, Orbital O2 Environmental Monitoring Programme","Magallanes Renovables ATIR at EMEC, EMEC Billia Croo Grid-Connected Wave Test Site, EMEC Scapa Flow Scale Wave Test Site, Tocardo InToTidal at EMEC, EMEC Billia Croo Grid-Connected Wave Test Site, Mocean Wave Energy Converter: Blue Horizon"
"Wave, Tidal",Design feature,"Installation, Operation & Maintenance, Decommissioning",Changes in sediment dynamics,Fish,NA,Sediment disturbance disrupting water clarity that results in smothering of fish spawning grounds.,Minimize the amount of structure on the seabed.,NA,NA,NA,NA,Minimizes the changes in sediment dynamics due to presence of structure on the seabed.,"Can present financial, logistical, or design challenges to technology developer to alter design of device/moorings.",Environmental Scoping Report: Brims Tidal Array,Brims Tidal Array
